Imputation Method,Feature Selection,Logistic acc,Logistic rec,Logistic prec,Logistic f1,Random Forest acc,Random Forest rec,Random Forest prec,Random Forest f1,Knn acc,Knn rec,Knn prec,Knn f1,MLP acc,MLP rec,MLP prec,MLP f1,SVM acc,SVM rec,SVM prec,SVM f1,AdaBoost acc,AdaBoost rec,AdaBoost prec,AdaBoost f1,Gradient Boosting acc,Gradient Boosting rec,Gradient Boosting prec,Gradient Boosting f1,Linear SVM acc,Linear SVM rec,Linear SVM prec,Linear SVM f1,Decision Tree acc,Decision Tree rec,Decision Tree prec,Decision Tree f1
meanmode,none,0.933797909,0.862831858,0.965346535,0.911214953,0.916376307,0.913793103,0.883333333,0.898305085,0.885017422,0.809734513,0.888349515,0.847222222,0.932055749,0.85840708,0.965174129,0.908665105,0.925087108,0.845132743,0.959798995,0.898823529,0.909407666,0.840707965,0.922330097,0.87962963,0.912891986,0.849557522,0.923076923,0.884792627,0.900696864,0.827433628,0.912195122,0.86774942,0.893728223,0.867256637,0.863436123,0.865342163
meanmode,none,0.914634146,0.880733945,0.893023256,0.886836028,0.926829268,0.922374429,0.889867841,0.905829596,0.881533101,0.816513761,0.86407767,0.839622642,0.914634146,0.866972477,0.90430622,0.885245902,0.919860627,0.912844037,0.880530973,0.896396396,0.912891986,0.889908257,0.881818182,0.885844749,0.928571429,0.899082569,0.911627907,0.905311778,0.919860627,0.908256881,0.883928571,0.895927602,0.918118467,0.894495413,0.890410959,0.892448513
meanmode,none,0.933797909,0.905405405,0.922018349,0.913636364,0.923344948,0.868995633,0.9342723,0.900452489,0.888501742,0.833333333,0.872641509,0.852534562,0.93728223,0.923423423,0.915178571,0.919282511,0.930313589,0.914414414,0.90625,0.910313901,0.898954704,0.918918919,0.836065574,0.875536481,0.921602787,0.923423423,0.879828326,0.901098901,0.926829268,0.905405405,0.905405405,0.905405405,0.881533101,0.900900901,0.81300813,0.854700855
meanmode,none,0.928571429,0.921052632,0.901287554,0.911062907,0.923344948,0.942222222,0.872427984,0.905982906,0.883275261,0.811403509,0.885167464,0.846681922,0.933797909,0.925438596,0.909482759,0.917391304,0.93554007,0.934210526,0.906382979,0.920086393,0.909407666,0.925438596,0.857723577,0.890295359,0.932055749,0.925438596,0.905579399,0.915401302,0.93554007,0.929824561,0.909871245,0.919739696,0.895470383,0.846491228,0.885321101,0.865470852
meanmode,none,0.928571429,0.905405405,0.909502262,0.90744921,0.911149826,0.940366972,0.843621399,0.889370933,0.905923345,0.855855856,0.896226415,0.875576037,0.930313589,0.936936937,0.888888889,0.912280702,0.942508711,0.945945946,0.909090909,0.927152318,0.890243902,0.815315315,0.891625616,0.851764706,0.921602787,0.914414414,0.886462882,0.900221729,0.932055749,0.900900901,0.921658986,0.911161731,0.885017422,0.864864865,0.842105263,0.853333333
meanmode,none,0.932055749,0.891891892,0.929577465,0.910344828,0.926829268,0.932126697,0.884120172,0.907488987,0.890243902,0.851351351,0.863013699,0.857142857,0.933797909,0.900900901,0.925925926,0.913242009,0.930313589,0.90990991,0.90990991,0.90990991,0.919860627,0.905405405,0.889380531,0.897321429,0.918118467,0.896396396,0.892376682,0.894382022,0.918118467,0.878378378,0.906976744,0.892448513,0.898954704,0.900900901,0.847457627,0.873362445
meanmode,AffinityPropagation,0.898954704,0.829787234,0.915492958,0.870535714,0.902439024,0.845493562,0.907834101,0.875555556,0.87804878,0.787234043,0.902439024,0.840909091,0.898954704,0.834042553,0.911627907,0.871111111,0.895470383,0.795744681,0.939698492,0.861751152,0.871080139,0.744680851,0.925925926,0.825471698,0.881533101,0.829787234,0.874439462,0.851528384,0.886759582,0.931914894,0.817164179,0.870775348,0.834494774,0.731914894,0.843137255,0.783599089
meanmode,AffinityPropagation,0.909407666,0.881818182,0.881818182,0.881818182,0.911149826,0.851851852,0.906403941,0.878281623,0.871080139,0.813636364,0.844339623,0.828703704,0.909407666,0.859090909,0.9,0.879069767,0.900696864,0.854545455,0.882629108,0.868360277,0.8728223,0.8,0.858536585,0.828235294,0.900696864,0.868181818,0.872146119,0.870159453,0.900696864,0.868181818,0.872146119,0.870159453,0.775261324,0.804545455,0.673003802,0.732919255
meanmode,AffinityPropagation,0.909407666,0.873362445,0.896860987,0.884955752,0.898954704,0.881355932,0.87394958,0.877637131,0.87630662,0.80349345,0.876190476,0.838268793,0.912891986,0.868995633,0.908675799,0.888392857,0.905923345,0.860262009,0.899543379,0.879464286,0.898954704,0.864628821,0.88,0.872246696,0.898954704,0.890829694,0.860759494,0.875536481,0.912891986,0.886462882,0.894273128,0.890350877,0.871080139,0.860262009,0.824267782,0.841880342
meanmode,AffinityPropagation,0.865853659,0.833333333,0.806451613,0.819672131,0.898954704,0.847107438,0.907079646,0.876068376,0.855400697,0.795238095,0.806763285,0.800959233,0.879790941,0.847619048,0.827906977,0.837647059,0.855400697,0.842857143,0.779735683,0.81006865,0.87456446,0.79047619,0.855670103,0.821782178,0.890243902,0.866666667,0.838709677,0.852459016,0.87804878,0.89047619,0.799145299,0.842342342,0.824041812,0.7,0.794594595,0.744303797
meanmode,AffinityPropagation,0.918118467,0.901345291,0.889380531,0.89532294,0.905923345,0.798076923,0.93258427,0.860103627,0.862369338,0.766816143,0.863636364,0.812351544,0.925087108,0.919282511,0.891304348,0.905077263,0.893728223,0.843049327,0.878504673,0.860411899,0.8728223,0.744394619,0.912087912,0.819753086,0.900696864,0.896860987,0.854700855,0.875273523,0.909407666,0.941704036,0.843373494,0.889830508,0.883275261,0.838565022,0.857798165,0.848072562
meanmode,AffinityPropagation,0.898954704,0.852534562,0.876777251,0.864485981,0.926829268,0.912621359,0.886792453,0.899521531,0.879790941,0.815668203,0.859223301,0.836879433,0.909407666,0.903225806,0.863436123,0.882882883,0.912891986,0.884792627,0.884792627,0.884792627,0.881533101,0.880184332,0.819742489,0.848888889,0.897212544,0.907834101,0.834745763,0.869757174,0.905923345,0.870967742,0.879069767,0.875,0.841463415,0.875576037,0.748031496,0.806794055
meanmode,AffinityPropagation,0.898954704,0.791469194,0.922651934,0.852040816,0.902439024,0.831858407,0.912621359,0.87037037,0.867595819,0.758293839,0.864864865,0.808080808,0.911149826,0.829383886,0.921052632,0.872817955,0.897212544,0.853080569,0.865384615,0.859188544,0.900696864,0.829383886,0.892857143,0.85995086,0.900696864,0.819905213,0.901041667,0.858560794,0.897212544,0.786729858,0.922222222,0.849104859,0.853658537,0.777251185,0.815920398,0.796116505
meanmode,AffinityPropagation,0.902439024,0.864864865,0.880733945,0.872727273,0.918118467,0.925581395,0.865217391,0.894382022,0.87630662,0.801801802,0.868292683,0.833723653,0.895470383,0.891891892,0.846153846,0.868421053,0.893728223,0.86036036,0.864253394,0.862302483,0.865853659,0.837837838,0.81938326,0.828507795,0.885017422,0.882882883,0.830508475,0.855895197,0.829268293,0.963963964,0.703947368,0.813688213,0.81358885,0.603603604,0.875816993,0.714666667
meanmode,AffinityPropagation,0.921602787,0.882352941,0.911214953,0.896551724,0.897212544,0.834080717,0.894230769,0.863109049,0.890243902,0.828054299,0.879807692,0.853146853,0.919860627,0.923076923,0.875536481,0.898678414,0.916376307,0.877828054,0.902325581,0.889908257,0.891986063,0.805429864,0.903553299,0.851674641,0.902439024,0.886877828,0.863436123,0.875,0.897212544,0.936651584,0.821428571,0.875264271,0.864111498,0.828054299,0.820627803,0.824324324
meanmode,AffinityPropagation,0.893728223,0.885321101,0.84279476,0.863534676,0.890243902,0.916666667,0.814814815,0.862745098,0.857142857,0.816513761,0.809090909,0.812785388,0.898954704,0.912844037,0.836134454,0.872807018,0.886759582,0.889908257,0.825531915,0.856512141,0.893728223,0.788990826,0.919786096,0.849382716,0.893728223,0.862385321,0.858447489,0.860411899,0.890243902,0.866972477,0.847533632,0.857142857,0.87456446,0.78440367,0.87244898,0.826086957
meanmode,AffinityPropagation,0.905923345,0.848101266,0.917808219,0.881578947,0.897212544,0.813559322,0.927536232,0.866817156,0.883275261,0.831223629,0.879464286,0.854663774,0.902439024,0.843881857,0.913242009,0.877192982,0.905923345,0.848101266,0.917808219,0.881578947,0.893728223,0.835443038,0.9,0.866520788,0.883275261,0.82278481,0.886363636,0.853391685,0.907665505,0.843881857,0.925925926,0.883002208,0.848432056,0.797468354,0.828947368,0.812903226
meanmode,AffinityPropagation,0.904181185,0.924778761,0.846153846,0.88372093,0.909407666,0.932432432,0.848360656,0.888412017,0.857142857,0.853982301,0.797520661,0.824786325,0.893728223,0.973451327,0.8,0.878243513,0.8728223,0.915929204,0.793103448,0.850102669,0.891986063,0.853982301,0.869369369,0.861607143,0.87804878,0.911504425,0.8046875,0.854771784,0.707317073,1,0.573604061,0.729032258,0.824041812,0.845132743,0.743190661,0.790890269
meanmode,AffinityPropagation,0.895470383,0.861751152,0.861751152,0.861751152,0.898954704,0.799043062,0.912568306,0.852040816,0.865853659,0.806451613,0.833333333,0.819672131,0.898954704,0.884792627,0.853333333,0.868778281,0.898954704,0.880184332,0.856502242,0.868181818,0.891986063,0.811059908,0.893401015,0.850241546,0.898954704,0.866359447,0.866359447,0.866359447,0.771777003,0.967741935,0.628742515,0.762250454,0.81010453,0.658986175,0.803370787,0.724050633
meanmode,AffinityPropagation,0.902439024,0.851351351,0.891509434,0.870967742,0.893728223,0.922018349,0.820408163,0.86825054,0.881533101,0.77027027,0.909574468,0.834146341,0.919860627,0.878378378,0.911214953,0.894495413,0.912891986,0.86036036,0.90952381,0.884259259,0.898954704,0.869369369,0.869369369,0.869369369,0.898954704,0.891891892,0.853448276,0.872246696,0.918118467,0.869369369,0.914691943,0.891454965,0.846689895,0.806306306,0.799107143,0.802690583
meanmode,AffinityPropagation,0.902439024,0.884773663,0.884773663,0.884773663,0.905923345,0.913242009,0.85106383,0.881057269,0.8728223,0.814814815,0.876106195,0.84434968,0.918118467,0.909465021,0.898373984,0.903885481,0.921602787,0.880658436,0.930434783,0.904862579,0.890243902,0.864197531,0.875,0.869565217,0.895470383,0.855967078,0.892703863,0.87394958,0.916376307,0.888888889,0.911392405,0.9,0.867595819,0.818930041,0.861471861,0.839662447
meanmode,AffinityPropagation,0.897212544,0.894067797,0.86122449,0.877338877,0.898954704,0.873303167,0.865470852,0.869369369,0.888501742,0.834745763,0.887387387,0.860262009,0.898954704,0.898305085,0.861788618,0.87966805,0.897212544,0.881355932,0.870292887,0.875789474,0.87804878,0.81779661,0.877272727,0.846491228,0.879790941,0.894067797,0.82745098,0.859470468,0.904181185,0.894067797,0.875518672,0.884696017,0.844947735,0.81779661,0.807531381,0.812631579
meanmode,AffinityPropagation,0.895470383,0.852534562,0.868544601,0.860465116,0.93902439,0.915422886,0.910891089,0.913151365,0.869337979,0.824884793,0.828703704,0.826789838,0.895470383,0.944700461,0.81027668,0.872340426,0.883275261,0.930875576,0.795275591,0.857749469,0.885017422,0.898617512,0.815899582,0.855263158,0.890243902,0.889400922,0.831896552,0.859688196,0.893728223,0.953917051,0.802325581,0.871578947,0.857142857,0.852534562,0.787234043,0.818584071
meanmode,AffinityPropagation,0.93554007,0.897674419,0.927884615,0.912529551,0.898954704,0.862222222,0.877828054,0.869955157,0.883275261,0.865116279,0.830357143,0.84738041,0.926829268,0.906976744,0.898617512,0.902777778,0.925087108,0.869767442,0.925742574,0.896882494,0.904181185,0.88372093,0.863636364,0.873563218,0.919860627,0.902325581,0.885844749,0.894009217,0.890243902,0.818604651,0.88,0.848192771,0.867595819,0.83255814,0.817351598,0.824884793
meanmode,AffinityPropagation,0.895470383,0.842342342,0.882075472,0.861751152,0.895470383,0.937198068,0.804979253,0.866071429,0.87804878,0.779279279,0.891752577,0.831730769,0.907665505,0.855855856,0.900473934,0.877598152,0.888501742,0.869369369,0.846491228,0.857777778,0.879790941,0.77027027,0.904761905,0.832116788,0.891986063,0.869369369,0.853982301,0.861607143,0.904181185,0.846846847,0.899521531,0.872389791,0.719512195,0.509009009,0.684848485,0.583979328
meanmode,AffinityPropagation,0.914634146,0.9125,0.886639676,0.899383984,0.919860627,0.944186047,0.856540084,0.898230088,0.87456446,0.791666667,0.896226415,0.840707965,0.918118467,0.920833333,0.887550201,0.903885481,0.911149826,0.895833333,0.892116183,0.893970894,0.883275261,0.85,0.868085106,0.858947368,0.909407666,0.908333333,0.879032258,0.893442623,0.909407666,0.908333333,0.879032258,0.893442623,0.864111498,0.891666667,0.804511278,0.845849802
meanmode,AffinityPropagation,0.907665505,0.876712329,0.880733945,0.878718535,0.905923345,0.873303167,0.881278539,0.877272727,0.881533101,0.826484018,0.857819905,0.841860465,0.916376307,0.904109589,0.88,0.891891892,0.893728223,0.904109589,0.831932773,0.866520788,0.897212544,0.858447489,0.87037037,0.864367816,0.900696864,0.863013699,0.875,0.868965517,0.907665505,0.890410959,0.870535714,0.880361174,0.834494774,0.803652968,0.771929825,0.787472036
meanmode,AffinityPropagation,0.914634146,0.92920354,0.864197531,0.895522388,0.891986063,0.81147541,0.925233645,0.864628821,0.8728223,0.853982301,0.82832618,0.840958606,0.905923345,0.92920354,0.846774194,0.886075949,0.895470383,0.884955752,0.854700855,0.869565217,0.888501742,0.836283186,0.875,0.85520362,0.897212544,0.89380531,0.852320675,0.872570194,0.893728223,0.960176991,0.80669145,0.876767677,0.764808362,0.800884956,0.667896679,0.728370221
meanmode,AffinityPropagation,0.904181185,0.940909091,0.831325301,0.882729211,0.904181185,0.848214286,0.900473934,0.873563218,0.862369338,0.8,0.834123223,0.816705336,0.904181185,0.936363636,0.834008097,0.882226981,0.893728223,0.918181818,0.824489796,0.868817204,0.851916376,0.836363636,0.789699571,0.812362031,0.888501742,0.927272727,0.80952381,0.86440678,0.904181185,0.927272727,0.839506173,0.881209503,0.844947735,0.840909091,0.774058577,0.806100218
meanmode,AffinityPropagation,0.897212544,0.856502242,0.876146789,0.866213152,0.893728223,0.914798206,0.829268293,0.869936034,0.860627178,0.798206278,0.835680751,0.816513761,0.911149826,0.883408072,0.887387387,0.885393258,0.893728223,0.901345291,0.8375,0.86825054,0.87630662,0.753363229,0.913043478,0.825552826,0.890243902,0.883408072,0.841880342,0.86214442,0.895470383,0.883408072,0.852813853,0.86784141,0.860627178,0.798206278,0.835680751,0.816513761
meanmode,AffinityPropagation,0.898954704,0.895927602,0.849785408,0.872246696,0.921602787,0.910714286,0.890829694,0.900662252,0.858885017,0.809954751,0.821100917,0.815489749,0.902439024,0.900452489,0.854077253,0.876651982,0.905923345,0.914027149,0.852320675,0.88209607,0.87630662,0.904977376,0.8,0.8492569,0.883275261,0.832579186,0.859813084,0.845977011,0.881533101,0.923076923,0.8,0.857142857,0.846689895,0.751131222,0.834170854,0.79047619
meanmode,AffinityPropagation,0.905923345,0.864035088,0.895454545,0.879464286,0.914634146,0.896713615,0.876146789,0.886310905,0.867595819,0.811403509,0.848623853,0.829596413,0.902439024,0.872807018,0.880530973,0.876651982,0.904181185,0.881578947,0.877729258,0.879649891,0.818815331,0.666666667,0.844444444,0.745098039,0.869337979,0.776315789,0.880597015,0.825174825,0.902439024,0.850877193,0.898148148,0.873873874,0.855400697,0.780701754,0.843601896,0.810933941
meanmode,AffinityPropagation,0.911149826,0.896713615,0.868181818,0.88221709,0.87804878,0.873417722,0.83805668,0.855371901,0.883275261,0.802816901,0.87244898,0.836185819,0.911149826,0.953051643,0.831967213,0.888402626,0.897212544,0.892018779,0.840707965,0.865603645,0.851916376,0.638497653,0.944444444,0.761904762,0.898954704,0.812206573,0.905759162,0.856435644,0.912891986,0.887323944,0.879069767,0.88317757,0.8728223,0.830985915,0.827102804,0.829039813
meanmode,AffinityPropagation,0.909407666,0.890350877,0.882608696,0.886462882,0.905923345,0.881818182,0.873873874,0.877828054,0.867595819,0.824561404,0.839285714,0.831858407,0.912891986,0.925438596,0.864754098,0.894067797,0.891986063,0.881578947,0.851694915,0.86637931,0.885017422,0.850877193,0.85840708,0.854625551,0.881533101,0.912280702,0.8125,0.859504132,0.905923345,0.916666667,0.856557377,0.88559322,0.841463415,0.842105263,0.777327935,0.808421053
