 ,Logistic,RandomForest,kNN,MLP,SVM,AdaBoost,GradientBoosting,LinearSVM,DecisionTree
knn_none,0.038832751313928285,0.024812016929907536,0.027783110387046315,0.032489136202640961,0.039193839574868876,0.044311111318196462,0.030692179907063431,0.081428517308946263,0.060013372057654446
softimpute_none,0.029854425182991872,0.027495108490060833,0.029053880226435944,0.031140107549129777,0.032072356812718722,0.050149801322102922,0.033518237208246038,0.040821168677162359,0.10534479947594616
meanmode_AffinityPropagation,0.033220810025252179,0.044565238909580383,0.025973309814191124,0.036748215157290917,0.028652719367108729,0.062751551818059872,0.037605925214731259,0.04796395237508868,0.08175585510484662
meanmode_SVD,0.020835810614771706,0.024615228123046333,0.027350567128612349,0.031721123752677813,0.032159690550789821,0.039806875093435876,0.026151310841894832,0.033044655487297132,0.043904614506083017
knn_SVD,0.020062608113012491,0.029985313093706976,0.025676606819872192,0.035202990582182001,0.030598361029760501,0.029166836008137687,0.027406344911873496,0.047032905555151903,0.042711932421504201
knn_AffinityPropagation,0.036179973602330169,0.043808643499683997,0.030231216244195447,0.041959050903271351,0.036752357166340448,0.063351626889474197,0.042910624427868194,0.090519554269570757,0.082058561365240576
softimpute_SVD,0.037596629892986094,0.038026658873275374,0.036746765680682532,0.042192597033879314,0.044646220421347263,0.047444778614424116,0.037793245646669811,0.048421683618582144,0.05349535651718864
meanmode_none,0.031469564526286062,0.021438548628707508,0.028162157694837171,0.032445546037303173,0.033073817213213057,0.050676916324722071,0.028154701209791345,0.06695240425974569,0.08432889828083405
softimpute_AffinityPropagation,0.04489898546729116,0.042470995699650751,0.026944352667078016,0.044704339498600455,0.044710567874527908,0.093780401530926413,0.039006248463423161,0.092151514890109643,0.099016782913480345
